file,lhs,op,rhs,beta,se,z,pval,level,sub_membership
FisherData1,energetic,~,energeticlag,0.475590672226703,0.0663550135691412,7.16736606091026,7.64499574756883E-13,group,1
FisherData1,enthusiastic,~,enthusiasticlag,0.361093412129181,0.0700081410643367,5.15787745024312,2.49764998461188E-07,group,1
FisherData1,content,~,contentlag,0.433215155595191,0.0665793966521667,6.50674498987208,7.67965691039763E-11,group,1
FisherData1,positive,~,positivelag,0.675773257678475,0.0449400313551069,15.0372226565365,0,group,1
FisherData1,accepted,~,acceptedlag,0.528916020811243,0.0601623770410998,8.79147478581034,0,group,1
FisherData1,enthusiastic,~,energetic,0.37635839152126,0.0695806608136776,5.40895109532041,6.33949364114983E-08,group,1
FisherData1,content,~,positive,0.355212657049421,0.0693743337153331,5.12023161918904,3.05160620994727E-07,group,1
FisherData1,positive,~,enthusiastic,0.178755606326936,0.0594445738946464,3.00709710938032,0.00263755491229789,group,1
FisherData1,accepted,~,content,0.288895105975201,0.066534384180236,4.3420422317671,1.41164389477755E-05,ind,1
FisherData10,energetic,~,energeticlag,0.364916704143833,0.0849992793028108,4.29317409673338,1.76136784253433E-05,group,2
FisherData10,enthusiastic,~,enthusiasticlag,0.46282558463032,0.0799341566732958,5.79008528884548,7.03506919386143E-09,group,2
FisherData10,content,~,contentlag,0.336659425188996,0.091596533321897,3.67546033653781,0.000237420926338716,group,2
FisherData10,positive,~,positivelag,0.232601211394472,0.077983070669735,2.98271418907775,0.0028570465878206,group,2
FisherData10,accepted,~,acceptedlag,0.308376270461372,0.0734821342306757,4.19661559493243,2.7093320791316E-05,group,2
FisherData10,enthusiastic,~,energetic,0.50395558240821,0.0734825918706781,6.85816285978482,6.97508717451001E-12,group,2
FisherData10,content,~,positive,0.66550246827305,0.0618165701189351,10.7657617851107,0,group,2
FisherData10,positive,~,enthusiastic,0.532602783213813,0.0688836939258264,7.73191379352154,1.06581410364015E-14,group,2
FisherData10,content,~,positivelag,-0.337204002919529,0.0960953871600572,-3.5090550429635,0.00044970182650439,ind,2
FisherData10,enthusiastic,~,energeticlag,-0.276461296751257,0.0900285672234259,-3.07081746691755,0.00213473611349624,ind,2
